CPU PCB Schematic Label,Part Description,Manufacturer,Mfr. Part Number,Quantity,digikey.com PN,newark.com PN,mouser.com PN,
"R9, R10","Resistor, surface-mount, 1k ohm, 1/8watt, 5% for SMD Piezo buzzer",Panasonic,ERJ-6GEYJ102V,2,P1.0KACT-ND,65T8778,667-ERJ-6GEYJ102V,
"R1, R2, R3, R4","Resistor, surface-mount 0805, 10k ohm, 1/8 watt 5%",Panasonic,ERJ-6GEYJ511V,4,P10KACT-ND,67T1248,667-ERJ-6GEYJ103V,
CT10_REED_SWITCH,"magnetic reed switch, surface mount",Coto,CT10-1030-G1,1,306-1258-1-ND,98H3468,816-CT10-1030-G1,
U$3,"Transistor (BJT) - NPN, for piezo buzzer, SOT-23-3 package",Fairchild,KSC1623LMTF,1,KSC1623LMTFCT-ND,99AC9286,512-KSC1623LMTF,
PIEZO,3V piezo buzzer - SMD,Murata,PKLCS1212E4001-R1,1,490-4683-1-ND,01M8494,81-PKLCS1212E4001,
J1,6-pin ISP header (3x2 layout),3M,961206-6404-AR,1,3M9459-ND,89H8939,517-9612066404AR,
U1,AVR ATMEGA328P-AU 32 PIN TQFP surface mount,AVR,ATMEGA328P-AU,1,ATMEGA328P-AU-ND,68T2935,556-ATMEGA328P-AU,
IC1,DS3231SN Real Time Clock 16SOIC-Wide,Maxim,DS3231SN,1,DS3231SN#T&RCT-ND,81Y9084,700-DS3231SN#,
U$2,"CR1220 Battery holder, surface-mount",Keystone,3000,1,36-3000-ND,66F5622,534-3000,
"C1, C2, C3","Capacitor, surface mount 0805 0.1uF 10V ceramic",Taiyo Yuden,LMK212SD104KG-T,4,587-1134-1-ND,84R9733,963-LMK212SD104KG-T,
"SPI_HDR, I2C_HDR, FTDI_HDR",Female wire wrap headers (long-tail stacking headers for CPU + POWER discs) 10mm tail length,Samtec,SSQ-106-03-G-S,3,SAM1198-06-ND,11P8269,200-SSQ10603GS,
,,,,,,,,
,,,,,,,,
